Filename                                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/jon/llvm-project/clang/include/clang/AST/DeclAccessPair.h                                                       8                 8     0.00%           8                 8     0.00%          22                22     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/DeclBase.h                                                           420               420     0.00%         208               208     0.00%         639               639     0.00%         166               166     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclCXX.h                                                            903               903     0.00%         503               503     0.00%        1377              1377     0.00%         358               358     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclContextInternals.h                                               109               109     0.00%          25                25     0.00%         204               204     0.00%          52                52     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclFriend.h                                                          66                66     0.00%          25                25     0.00%         103               103     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclGroup.h                                                           59                59     0.00%          23                23     0.00%          73                73     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclID.h                                                              36                36     0.00%          28                28     0.00%          55                55     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/DeclLookups.h                                                         27                27     0.00%          11                11     0.00%          41                41     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclObjC.h                                                           611               611     0.00%         388               388     0.00%         980               980     0.00%         140               140     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclOpenMP.h                                                         105               105     0.00%          93                93     0.00%         191               191     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclTemplate.h                                                       566               566     0.00%         321               321     0.00%        1024              1024     0.00%         154               154     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclVisitor.h                                                        779               779     0.00%           3                 3     0.00%          11                11     0.00%         174               174     0.00%
home/jon/llvm-project/clang/include/clang/AST/DeclarationName.h                                                    173               173     0.00%          91                91     0.00%         313               313     0.00%          36                36     0.00%
home/jon/llvm-project/clang/include/clang/AST/DependenceFlags.h                                                     41                41     0.00%          31                31     0.00%         121               121     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/DependentDiagnostic.h                                                 33                33     0.00%          20                20     0.00%          80                80     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/EvaluatedExprVisitor.h                                                49                49     0.00%          21                21     0.00%          58                58     0.00%          22                22     0.00%
home/jon/llvm-project/clang/include/clang/AST/Expr.h                                                              2116              2116     0.00%        1062              1062     0.00%        2704              2704     0.00%         546               546     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprCXX.h                                                           1258              1258     0.00%         749               749     0.00%        1971              1971     0.00%         238               238     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprConcepts.h                                                       122               122     0.00%          79                79     0.00%         242               242     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprObjC.h                                                           465               465     0.00%         279               279     0.00%         671               671     0.00%          58                58     0.00%
home/jon/llvm-project/clang/include/clang/AST/ExprOpenMP.h                                                          39                39     0.00%          35                35     0.00%          75                75     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ExternalASTSource.h                                                   87                87     0.00%          40                40     0.00%         122               122     0.00%          26                26     0.00%
home/jon/llvm-project/clang/include/clang/AST/FormatString.h                                                       226               226     0.00%         126               126     0.00%         283               283     0.00%          56                56     0.00%
home/jon/llvm-project/clang/include/clang/AST/GlobalDecl.h                                                          60                60     0.00%          35                35     0.00%         131               131     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/IgnoreExpr.h                                                         114               114     0.00%          14                14     0.00%         110               110     0.00%          78                78     0.00%
home/jon/llvm-project/clang/include/clang/AST/JSONNodeDumper.h                                                      71                71     0.00%          18                18     0.00%         133               133     0.00%          44                44     0.00%
home/jon/llvm-project/clang/include/clang/AST/LambdaCapture.h                                                       15                15     0.00%           9                 9     0.00%          25                25     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/LocInfoType.h                                                          6                 6     0.00%           4                 4     0.00%           8                 8     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/Mangle.h                                                              34                34     0.00%          16                16     0.00%          42                42     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/MangleNumberingContext.h                                               3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/NSAPI.h                                                               13                13     0.00%          11                11     0.00%          36                36     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/NestedNameSpecifier.h                                                 49                49     0.00%          31                31     0.00%          89                89     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/AST/NonTrivialTypeVisitor.h                                               32                32     0.00%           9                 9     0.00%          62                62     0.00%          34                34     0.00%
home/jon/llvm-project/clang/include/clang/AST/ODRDiagsEmitter.h                                                      9                 9     0.00%           4                 4     0.00%          16                16     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ODRHash.h                                                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/OSLog.h                                                               33                33     0.00%          17                17     0.00%          52                52     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/AST/OpenACCClause.h                                                      298               298     0.00%          81                81     0.00%         309               309     0.00%          98                98     0.00%
home/jon/llvm-project/clang/include/clang/AST/OpenMPClause.h                                                      2512              2512     0.00%        1160              1160     0.00%        3099              3099     0.00%         284               284     0.00%
home/jon/llvm-project/clang/include/clang/AST/OptionalDiagnostic.h                                                  14                14     0.00%           5                 5     0.00%          32                32     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/ParentMap.h                                                            5                 5     0.00%           5                 5     0.00%          13                13     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/ParentMapContext.h                                                    26                26     0.00%          14                14     0.00%          35                35     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/AST/PrettyDeclStackTrace.h                                                 5                 5     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/PrettyPrinter.h                                                       47                47     0.00%           4                 4     0.00%          30                30     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/RawCommentList.h                                                      53                53     0.00%          19                19     0.00%          59                59     0.00%          24                24     0.00%
home/jon/llvm-project/clang/include/clang/AST/RecordLayout.h                                                        53                53     0.00%          29                29     0.00%          85                85     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/RecursiveASTVisitor.h                                              12027             12027     0.00%         172               172     0.00%        1176              1176     0.00%        3862              3862     0.00%
home/jon/llvm-project/clang/include/clang/AST/Redeclarable.h                                                        88                88     0.00%          41                41     0.00%         139               139     0.00%          26                26     0.00%
home/jon/llvm-project/clang/include/clang/AST/Stmt.h                                                               729               729     0.00%         535               535     0.00%        1176              1176     0.00%          86                86     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtCXX.h                                                            141               141     0.00%         109               109     0.00%         231               231     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtGraphTraits.h                                                     16                16     0.00%          10                10     0.00%          30                30     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtIterator.h                                                        52                52     0.00%          26                26     0.00%          59                59     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtObjC.h                                                           150               150     0.00%         114               114     0.00%         218               218     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtOpenACC.h                                                         34                34     0.00%          22                22     0.00%          65                65     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtOpenMP.h                                                         843               843     0.00%         498               498     0.00%        1638              1638     0.00%         138               138     0.00%
home/jon/llvm-project/clang/include/clang/AST/StmtVisitor.h                                                       2205              2205     0.00%           6                 6     0.00%          74                74     0.00%         576               576     0.00%
home/jon/llvm-project/clang/include/clang/AST/TemplateArgumentVisitor.h                                             25                25     0.00%           3                 3     0.00%          21                21     0.00%          22                22     0.00%
